Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC-dev,GC-out,GC,Len,MD,PD,Organelle,Origin
CM017891.1,2,1,1,25,25,40.82,1,26.54,43.16,5.79,5.79,1,GCA_008330645.1
VLTN01000127.1,0,0,0,25,0,5.68,0,73.05,23.46,10.66,0.0,0,GCA_008330645.1
VLTN01000073.1,0,0,0,25,0,3.63,0,70.99,168.57,1.48,0.0,0,GCA_008330645.1
VLTN01000067.1,2,0,0,0,25,3.59,0,70.95,186.43,0.0,1.34,0,GCA_008330645.1
VLTN01000014.1,1,0,0,0,45,2.85,0,70.22,608.52,0.0,0.74,0,GCA_008330645.1
VLTN01000047.1,8,0,0,0,25,1.91,0,69.28,297.01,0.0,0.84,0,GCA_008330645.1
VLTN01000050.1,0,0,0,0,27,3.29,0,70.65,277.86,0.0,0.97,0,GCA_008330645.1
VLTN01000027.1,9,0,0,25,25,2.47,0,69.83,446.96,0.56,0.56,0,GCA_008330645.1
VLTN01000032.1,0,0,0,0,25,3.45,0,70.81,419.91,0.0,0.6,0,GCA_008330645.1
VLTN01000109.1,0,0,0,0,7,1.43,0,68.79,37.19,0.0,1.88,0,GCA_008330645.1
VLTN01000013.1,0,0,0,0,26,3.83,0,71.2,618.32,0.0,0.42,0,GCA_008330645.1
VLTN01000038.1,0,0,0,0,17,2.06,0,69.42,338.0,0.0,0.5,0,GCA_008330645.1
VLTN01000001.1,0,0,0,0,30,2.73,0,70.09,1533.56,0.0,0.2,0,GCA_008330645.1
VLTN01000011.1,0,5,0,0,0,4.45,0,71.81,656.92,0.0,0.0,0,GCA_008330645.1
VLTN01000061.1,0,0,0,10,0,4.0,0,71.36,216.1,0.46,0.0,0,GCA_008330645.1
VLTN01000016.1,4,0,0,0,0,2.28,0,69.65,602.48,0.0,0.0,0,GCA_008330645.1
VLTN01000080.1,3,0,0,0,0,2.56,0,69.92,133.77,0.0,0.0,0,GCA_008330645.1
VLTN01000009.1,3,0,0,0,0,3.53,0,70.89,733.58,0.0,0.0,0,GCA_008330645.1
VLTN01000077.1,0,0,0,3,12,3.44,0,70.8,145.89,0.21,0.82,0,GCA_008330645.1
VLTN01000063.1,0,0,0,3,15,3.67,0,71.03,194.79,0.15,0.77,0,GCA_008330645.1
VLTN01000017.1,2,0,0,0,0,4.01,0,71.37,584.41,0.0,0.0,0,GCA_008330645.1
VLTN01000101.1,1,0,0,0,0,4.5,0,71.86,58.51,0.0,0.0,0,GCA_008330645.1
VLTN01000046.1,0,0,0,0,6,3.73,0,71.09,298.55,0.0,0.2,0,GCA_008330645.1
VLTN01000029.1,1,0,0,0,0,3.94,0,71.3,429.02,0.0,0.0,0,GCA_008330645.1
VLTN01000026.1,1,0,0,0,0,3.07,0,70.44,460.47,0.0,0.0,0,GCA_008330645.1
VLTN01000025.1,1,0,0,0,0,4.85,0,72.22,464.77,0.0,0.0,0,GCA_008330645.1
VLTN01000018.1,1,0,0,0,0,3.7,0,71.06,559.91,0.0,0.0,0,GCA_008330645.1
VLTN01000015.1,0,0,0,0,8,3.27,0,70.63,607.67,0.0,0.13,0,GCA_008330645.1
VLTN01000008.1,1,0,0,0,0,2.6,0,69.96,749.81,0.0,0.0,0,GCA_008330645.1
VLTN01000007.1,0,0,0,0,11,3.68,0,71.05,758.23,0.0,0.15,0,GCA_008330645.1
JADAQX010000769.1,0,1,0,50,75,12.61,1,21.94,24.98,20.02,30.03,0,GCA_015476325.1
JADAQX010000767.1,0,1,0,50,75,10.69,1,23.86,25.04,19.97,29.95,0,GCA_015476325.1
CM027049.1,4,3,4,50,75,6.53,1,28.02,36.47,13.71,20.57,1,GCA_015476325.1
JADAQX010001776.1,0,0,0,25,1,9.03,1,25.52,2.01,124.63,4.99,0,GCA_015476325.1
JADAQX010002183.1,0,0,0,25,0,12.21,1,22.34,1.02,246.06,0.0,0,GCA_015476325.1
JADAQX010001711.1,0,0,0,0,25,9.15,1,25.41,2.33,0.0,107.11,0,GCA_015476325.1
JADAQX010001051.1,0,0,0,50,17,2.88,0,31.68,15.57,32.12,10.92,0,GCA_015476325.1
JADAQX010001189.1,4,2,4,8,50,1.4,0,35.95,11.88,6.73,42.08,0,GCA_015476325.1
JADAQX010000728.1,0,0,0,50,0,13.23,1,21.32,26.62,18.78,0.0,0,GCA_015476325.1
JADAQX010001664.1,0,0,0,0,25,5.43,1,29.13,2.73,0.0,91.47,0,GCA_015476325.1
JADAQX010001530.1,0,0,0,0,25,5.79,1,28.76,4.25,0.0,58.84,0,GCA_015476325.1
JADAQX010001458.1,0,0,0,25,0,4.95,1,29.6,5.71,43.77,0.0,0,GCA_015476325.1
JADAQX010002001.1,0,0,0,0,25,1.34,0,35.9,1.34,0.0,186.57,0,GCA_015476325.1
JADAQX010001963.1,0,0,0,0,25,3.9,0,30.65,1.44,0.0,173.37,0,GCA_015476325.1
JADAQX010001894.1,0,0,0,2,6,2.6,0,37.15,1.61,12.45,37.34,0,GCA_015476325.1
JADAQX010001706.1,0,0,0,0,25,0.44,0,35.0,2.35,0.0,106.56,0,GCA_015476325.1
JADAQX010000125.1,0,0,0,33,50,0.61,0,33.95,84.85,3.89,5.89,0,GCA_015476325.1
JADAQX010000602.1,0,0,0,0,50,0.65,0,33.91,32.05,0.0,15.6,0,GCA_015476325.1
JADAQX010000223.1,0,0,0,25,25,1.04,0,33.51,65.39,3.82,3.82,0,GCA_015476325.1
JADAQX010000506.1,0,0,0,0,50,2.69,0,37.24,37.35,0.0,13.39,0,GCA_015476325.1
JADAQX010000191.1,0,2,0,25,25,1.24,0,35.8,71.94,3.48,3.48,0,GCA_015476325.1
JADAQX010001217.1,0,0,0,25,0,1.72,0,36.28,11.07,22.58,0.0,0,GCA_015476325.1
JADAQX010000173.1,0,0,0,25,25,1.81,0,36.36,75.2,3.32,3.32,0,GCA_015476325.1
JADAQX010000344.1,0,0,0,0,50,0.91,0,35.46,50.13,0.0,9.97,0,GCA_015476325.1
JADAQX010001046.1,0,0,0,0,25,0.44,0,34.11,15.72,0.0,15.91,0,GCA_015476325.1
JADAQX010000976.1,0,0,0,0,25,0.98,0,35.53,17.57,0.0,14.23,0,GCA_015476325.1
JADAQX010000955.1,0,0,0,0,25,1.23,0,35.78,18.1,0.0,13.81,0,GCA_015476325.1
JADAQX010000876.1,0,0,0,25,0,1.94,0,32.62,21.14,11.83,0.0,0,GCA_015476325.1
JADAQX010000890.1,0,0,0,0,24,0.82,0,33.74,20.57,0.0,11.67,0,GCA_015476325.1
JADAQX010000717.1,0,0,0,0,25,0.25,0,34.8,26.93,0.0,9.28,0,GCA_015476325.1
JADAQX010000706.1,0,0,0,0,25,0.56,0,35.11,27.49,0.0,9.09,0,GCA_015476325.1
JADAQX010000625.1,0,0,0,0,24,1.49,0,33.06,30.92,0.0,7.76,0,GCA_015476325.1
JADAQX010000567.1,0,0,0,25,0,1.76,0,32.79,34.05,7.34,0.0,0,GCA_015476325.1
JADAQX010000597.1,0,0,0,0,23,1.32,0,35.88,32.27,0.0,7.13,0,GCA_015476325.1
JADAQX010000020.1,0,0,0,25,25,1.01,0,35.56,172.37,1.45,1.45,0,GCA_015476325.1
JADAQX010000833.1,0,0,0,0,14,0.73,0,35.28,22.71,0.0,6.16,0,GCA_015476325.1
JADAQX010000189.1,0,0,0,0,25,0.15,0,34.7,72.32,0.0,3.46,0,GCA_015476325.1
JADAQX010000157.1,0,0,0,25,0,0.76,0,33.79,78.19,3.2,0.0,0,GCA_015476325.1
JADAQX010000131.1,0,0,0,0,25,0.59,0,35.14,83.33,0.0,3.0,0,GCA_015476325.1
JADAQX010000106.1,0,0,0,25,0,1.28,0,35.84,93.59,2.67,0.0,0,GCA_015476325.1
JADAQX010000029.1,0,0,0,0,25,0.71,0,35.26,153.94,0.0,1.62,0,GCA_015476325.1
JADAQX010000219.1,0,0,0,0,15,0.14,0,34.42,66.16,0.0,2.27,0,GCA_015476325.1
JADAQX010000198.1,0,0,0,6,14,1.17,0,35.72,70.29,0.85,1.99,0,GCA_015476325.1
