Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC,GC-dev,GC-out,Len,MD,PD,Organelle
NC_018792.1,0,1,1,25,25,34.98,12.37,1,24.92,10.03,10.03,1
NC_026751.1,1,0,0,69,73,48.16,0.81,0,1399.5,0.49,0.52,0
NC_026756.1,1,0,0,51,0,48.23,0.89,0,774.06,0.66,0.0,0
NC_026747.1,0,0,0,67,75,48.14,0.8,0,1575.14,0.43,0.48,0
NC_026746.1,1,5,1,50,0,48.24,0.9,0,1621.68,0.31,0.0,0
NC_026757.1,1,0,0,25,50,48.29,0.95,0,756.75,0.33,0.66,0
NC_026749.1,1,0,0,53,71,48.31,0.96,0,1814.98,0.29,0.39,0
NC_026750.1,1,0,0,29,77,48.3,0.96,0,1422.46,0.2,0.54,0
NC_026748.1,2,0,0,25,25,48.23,0.89,0,1084.81,0.23,0.23,0
NC_024236.1,0,0,0,25,25,45.97,2.93,1,16.65,15.01,15.01,1
NW_022045227.1,0,0,0,25,3,40.14,2.89,1,26.91,9.29,1.11,0
NW_022045166.1,0,0,0,18,3,40.6,2.43,0,66.28,2.72,0.45,0
NW_022045150.1,0,0,0,17,3,43.27,0.23,0,107.15,1.59,0.28,0
NW_022045163.1,6,0,0,0,0,43.51,0.47,0,74.53,0.0,0.0,0
NW_022045112.1,2,0,0,0,0,46.31,3.27,1,260.83,0.0,0.0,0
NW_022045126.1,0,0,0,12,3,42.4,0.64,0,157.38,0.76,0.19,0
NW_022045191.1,1,0,0,0,0,40.84,2.19,0,39.48,0.0,0.0,0
NC_044188.1,56,0,0,40,10,41.97,1.07,0,36133.47,0.01,0.0,0
NW_021706825.1,0,0,0,25,25,25.7,18.53,1,22.44,11.14,11.14,1
NW_020289901.1,20,0,0,202,188,46.42,2.19,0,3440.86,0.59,0.55,0
NW_020289900.1,2,7,0,54,75,47.08,2.84,0,1032.4,0.52,0.73,0
NW_020289895.1,24,1,0,78,137,47.33,3.1,0,3288.8,0.24,0.42,0
NW_020289896.1,1,0,0,0,25,46.73,2.49,0,787.16,0.0,0.32,0
NW_020289898.1,7,14,1,46,34,47.21,2.98,0,1561.06,0.29,0.22,0
NC_011379.1,0,0,0,25,25,46.84,6.43,1,16.65,15.02,15.02,1
NC_036444.1,176,91,0,15,8,38.89,1.52,0,31535.49,0.0,0.0,0
NW_019369784.1,0,4,4,0,0,54.27,13.86,1,46.0,0.0,0.0,0
NW_019369804.1,0,3,0,0,0,62.07,21.66,1,18.69,0.0,0.0,0
NW_019369805.1,0,3,0,0,0,61.51,21.1,1,17.45,0.0,0.0,0
NW_019369801.1,0,3,0,0,0,59.88,19.47,1,22.36,0.0,0.0,0
NW_019369816.1,0,1,1,0,0,68.76,28.35,1,1.75,0.0,0.0,0
NW_019369795.1,0,3,0,0,0,57.8,17.39,1,27.65,0.0,0.0,0
NW_019369798.1,17,0,0,0,0,44.01,3.6,0,17.07,0.0,0.0,0
NC_036462.1,67,0,0,81,14,38.42,1.99,0,32926.08,0.02,0.0,0
NC_036449.1,6,0,0,83,14,38.61,1.81,0,31701.06,0.03,0.0,0
NW_019369780.1,0,0,0,4,3,44.26,3.84,0,58.7,0.68,0.51,0
NW_019369765.1,2,0,0,0,0,38.94,1.48,0,116.47,0.0,0.0,0
NC_011395.1,0,2,2,25,25,22.01,19.49,1,35.11,7.12,7.12,1
NC_009902.1,0,0,0,25,0,29.5,12.0,1,6.01,41.63,0.0,1
NW_001820857.1,7,3,1,103,125,40.83,0.68,0,1797.58,0.57,0.7,0
NC_010575.1,9,14,2,74,120,41.78,0.28,0,2593.32,0.29,0.46,0
NW_001820854.1,2,0,0,0,25,41.9,0.4,0,821.82,0.0,0.3,0
NW_001820855.1,1,0,0,27,30,42.34,0.84,0,827.91,0.33,0.36,0
NC_010574.1,5,1,0,23,80,41.8,0.3,0,1729.42,0.13,0.46,0
NW_001820853.1,2,0,0,0,8,41.86,0.36,0,285.38,0.0,0.28,0
NW_001813686.1,0,0,0,25,25,28.77,8.48,1,35.6,7.02,7.02,1
NW_001813677.1,3,25,5,50,47,37.81,0.56,0,545.0,0.92,0.86,0
NW_001813696.1,1,0,0,8,0,40.02,2.77,0,11.86,6.75,0.0,0
NW_001813684.1,10,0,0,106,115,36.6,0.65,0,2574.66,0.41,0.45,0
NW_001813675.1,2,0,0,0,26,37.52,0.27,0,406.92,0.0,0.64,0
NW_001813681.1,0,0,0,44,45,36.41,0.84,0,1263.17,0.35,0.36,0
NW_001813685.1,1,0,0,80,72,36.85,0.4,0,3549.22,0.23,0.2,0
NW_001813682.1,4,0,0,33,18,36.58,0.67,0,1671.3,0.2,0.11,0
NW_001813678.1,0,0,0,25,7,36.96,0.29,0,572.01,0.44,0.12,0
NW_001813676.1,0,0,0,3,34,37.28,0.03,0,462.78,0.06,0.73,0
NC_001322.1,0,0,0,25,25,21.41,16.24,1,16.02,15.61,15.61,1
NW_024095879.1,0,25,12,0,0,41.59,3.93,0,264.51,0.0,0.0,0
NW_024095880.1,0,18,7,0,0,36.36,1.29,0,72.43,0.0,0.0,0
NW_024095887.1,0,9,4,0,0,38.49,0.84,0,41.66,0.0,0.0,0
NW_024095863.1,0,10,3,0,0,35.56,2.09,0,41.29,0.0,0.0,0
NW_024095884.1,0,7,4,0,0,40.22,2.56,0,36.14,0.0,0.0,0
NW_024095868.1,0,6,3,0,0,34.46,3.19,0,15.92,0.0,0.0,0
NW_024095874.1,0,3,2,0,0,34.75,2.91,0,11.37,0.0,0.0,0
NW_024095871.1,0,3,2,0,0,34.12,3.53,0,9.37,0.0,0.0,0
NW_024095877.1,0,0,0,104,9,41.22,3.56,0,1442.53,0.72,0.06,0
NW_024095870.1,0,2,1,0,0,36.1,1.55,0,10.0,0.0,0.0,0
NC_052531.1,0,0,0,25,22,35.56,2.09,0,1429.81,0.17,0.15,0
NC_004299.1,0,0,0,25,25,44.24,1.9,0,16.45,15.2,15.2,1
NW_021821634.1,10,12,3,0,0,51.64,5.5,1,709.69,0.0,0.0,0
NW_021821635.1,0,0,0,50,51,49.07,2.93,0,593.85,0.84,0.86,0
NW_021821654.1,0,0,0,0,25,48.43,2.29,0,113.17,0.0,2.21,0
NC_042299.1,30,0,0,5,3,45.46,0.69,0,16705.55,0.0,0.0,0
NC_042300.1,30,0,0,0,0,45.91,0.23,0,13527.5,0.0,0.0,0
NW_021821639.1,0,28,0,0,0,44.97,1.17,0,392.86,0.0,0.0,0
NC_042302.1,15,8,3,0,0,47.4,1.26,0,10237.71,0.0,0.0,0
NC_042295.1,22,0,0,2,0,45.58,0.56,0,16367.6,0.0,0.0,0
NW_021821645.1,0,23,0,0,0,45.22,0.92,0,186.83,0.0,0.0,0
NW_021821640.1,3,0,0,0,0,53.91,7.77,1,270.24,0.0,0.0,0
NC_042296.1,19,0,0,0,2,46.1,0.04,0,13571.58,0.0,0.0,0
NW_021821631.1,0,18,1,0,0,43.42,2.73,0,27.23,0.0,0.0,0
NW_021821641.1,0,3,1,0,0,41.46,4.68,1,255.91,0.0,0.0,0
